id,Usage,timestamp,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23
1543,Public,2023-10-02 22:00:00+07:00,0.026,0.027,0.026,0.029,0.037,0.039,0.036,0.032,15.083,197.884,437.99,624.632,773.914,843.07,838.237,777.849,591.476,339.601,217.894,34.37,1.756,0.052,0.048,0.039
1544,Public,2023-07-01 12:00:00+07:00,914.223,964.049,900.022,514.379,200.529,165.372,20.977,0.397,0.017,0.017,0.015,0.016,0.009,0.011,0.01,0.008,0.005,0.107,7.861,46.227,207.276,498.981,721.265,696.982
1545,Public,2023-12-23 18:00:00+07:00,0.266,0.011,0.008,0.008,0.005,0.004,0.003,0.003,0.002,0,0.001,0.001,1.298,50.591,197.195,369.862,505.233,597.109,608.293,545.689,435.106,275.563,111.338,21.559
1546,Public,2023-12-11 22:00:00+07:00,0.017,0.013,0.018,0.014,0.012,0.006,0.003,0.004,2.426,60.9,212.884,376.742,508.117,578.787,536.271,352.817,399.346,208.253,61.391,18.369,0.065,0.014,0.016,0.016
1547,Public,2023-09-22 18:00:00+07:00,4.284,0.051,0.046,0.041,0.038,0.034,0.027,0.034,0.027,0.026,0.021,0.034,30.782,229.44,403.977,640.013,744.12,721.768,801.28,721.946,587.529,480.484,284.256,76.356
1548,Public,2023-06-18 16:00:00+07:00,520.857,271.428,58.962,0.637,0.033,0.055,0.051,0.043,0.041,0.039,0.034,0.036,0.038,1.791,63.334,243.06,544.229,753.467,848.757,458.089,239.292,387.396,714.549,679.801
1549,Public,2023-06-05 22:00:00+07:00,0.024,0.024,0.028,0.023,0.02,0.026,0.023,2.009,54.233,205.845,528.989,495.994,779.063,985.405,752.721,447.728,87.861,171.736,179.685,108.64,17.119,0.122,0.038,0.036
1550,Public,2023-04-21 23:00:00+07:00,0.017,0.021,0.021,0.017,0.02,0.011,0.147,30.091,146.783,321.948,493.03,663.194,787.045,842.773,319.201,249.4,0.02,0.014,0.009,0.015,0.016,0.016,0.014,0.016
1551,Public,2023-04-29 21:00:00+07:00,0.02,0.017,0.022,0.016,0.031,0.027,0.022,0.014,0.305,41.948,206.91,408.578,594.893,724.631,663.721,834.528,725.64,422.259,50.563,117.103,116.514,35.799,0.026,0.008
1552,Public,2023-07-20 16:00:00+07:00,369.745,226.722,33.937,0.291,0.021,0.01,0.008,0.009,0.008,0.01,0.019,0.021,0.017,0.448,33.887,183.978,494.868,789.208,852.778,646.211,773.955,706.768,769.737,588.551
1553,Public,2023-07-25 16:00:00+07:00,252.473,220.464,44.214,0.623,0.038,0.032,0.03,0.037,0.039,0.02,0.009,0.006,0.007,0.254,26.114,141.879,389.796,489.549,745.634,940.727,932.364,155.11,363.377,424.763
1554,Public,2023-10-19 22:00:00+07:00,0.021,0.021,0.018,0.016,0.017,0.017,0.015,0.021,21.914,169.708,380.232,563.859,698.429,774.053,769.301,711.752,600.647,379.26,107.713,24.394,0.38,0.029,0.019,0.019
1555,Public,2023-07-13 03:00:00+07:00,0.008,0.008,1.189,35.207,166.03,450.444,479.104,361.899,861.847,761.012,817.255,678.796,358.615,524.76,198.544,52.203,0.482,0.041,0.041,0.036,0.043,0.036,0.036,0.032
1556,Public,2023-07-26 19:00:00+07:00,0.482,0.021,0.015,0.017,0.017,0.027,0.027,0.025,0.019,0.022,0.567,73.816,115.133,223.688,373.609,744.274,792.053,578.076,711.883,640.801,438.32,306.267,202.109,47.518
1557,Public,2023-12-14 20:00:00+07:00,0.027,0.023,0.017,0.02,0.014,0.006,0.006,0.005,0.003,0.005,2.062,50.858,199.545,360.422,504.856,579.682,587.712,469.337,399.292,257.509,102.183,19.492,0.109,0.016
1558,Public,2023-10-16 02:00:00+07:00,0.012,0.015,0.02,0.016,42.873,92.457,220.812,471.196,581.602,697.395,645.038,323.107,349.936,312.151,232.333,38.718,0.285,0.02,0.014,0.012,0.016,0.012,0.014,0.012
1559,Public,2023-06-13 11:00:00+07:00,765.552,393.605,497.988,342.084,604.393,288.639,24.87,6.874,0.461,0.031,0.026,0.027,0.025,0.021,0.023,0.019,0.014,0.021,0.649,19.115,57.089,248.235,422.799,249.943
1560,Public,2023-10-18 17:00:00+07:00,29.368,0.287,0.015,0.011,0.015,0.021,0.012,0.011,0.011,0.01,0.006,0.004,0.006,20.824,135.292,375.428,567.722,639.11,541.506,614.329,570.918,436.678,321.633,218.236
1561,Public,2023-11-11 11:00:00+07:00,684.475,614.494,558.745,442.941,283.73,114.775,18.026,0.066,0.044,0.042,0.04,0.028,0.029,0.027,0.024,0.029,0.02,0.017,0.02,8.65,110.288,303.156,524.635,343.5
1562,Public,2023-06-14 16:00:00+07:00,79.469,45.843,12.704,0.239,0.017,0.019,0.025,0.017,0.019,0.018,0.016,0.011,0.015,0.918,33.287,163.287,600.441,459.966,338.045,418.04,335.195,504.071,285.45,279.578
1563,Public,2023-10-29 18:00:00+07:00,0.112,0.037,0.038,0.031,0.031,0.029,0.025,0.02,0.024,0.026,0.026,0.024,14.764,86.534,160.84,417.666,604.735,662.934,589.843,623.758,481.869,198.041,15.043,2.182
1564,Public,2023-06-17 13:00:00+07:00,773.309,778.682,476.86,442.278,201.072,41.898,0.461,0.034,0.024,0.024,0.026,0.023,0.027,0.034,0.03,0.028,1.684,50.91,198.511,338.768,629.197,724.202,914.164,854.826
1565,Public,2023-10-04 14:00:00+07:00,522.689,236.38,101.255,57.982,0.874,0.051,0.046,0.048,0.051,0.035,0.034,0.023,0.022,0.021,0.019,0.037,17.543,74.829,211.321,487.015,634.252,715.913,837.21,665.083
1566,Public,2023-11-12 12:00:00+07:00,660.846,628.974,378.041,312.427,84.595,10.581,0.048,0.031,0.032,0.035,0.034,0.029,0.027,0.02,0.02,0.016,0.016,0.011,10.93,96.078,296.579,473.147,608.277,514.895
1567,Public,2023-09-30 17:00:00+07:00,54.063,4.582,0.036,0.027,0.012,0.008,0.012,0.015,0.017,0.019,0.023,0.022,0.012,17.12,121.964,441.463,519.778,560.838,607.966,886.817,916.322,573.382,381.021,132.001
1568,Public,2023-12-12 03:00:00+07:00,0.006,0.003,0.004,2.426,60.9,212.884,376.742,508.117,578.787,536.271,352.817,399.346,208.253,61.391,18.369,0.065,0.014,0.016,0.016,0.01,0.006,0.006,0.002,0.002
1569,Public,2023-10-02 11:00:00+07:00,643.93,691.001,392.103,377.168,317.511,155.253,67.996,1.518,0.045,0.045,0.033,0.026,0.027,0.026,0.029,0.037,0.039,0.036,0.032,15.083,197.884,437.99,624.632,773.914
1570,Public,2023-06-18 10:00:00+07:00,724.202,914.164,854.826,734.844,832.428,717.27,520.857,271.428,58.962,0.637,0.033,0.055,0.051,0.043,0.041,0.039,0.034,0.036,0.038,1.791,63.334,243.06,544.229,753.467
1571,Public,2023-12-12 13:00:00+07:00,352.817,399.346,208.253,61.391,18.369,0.065,0.014,0.016,0.016,0.01,0.006,0.006,0.002,0.002,0.002,0.002,0.002,1.971,57.02,202.152,363.146,488.155,557.649,568.045
1572,Public,2023-08-20 19:00:00+07:00,0.043,0.031,0.026,0.025,0.029,0.032,0.042,0.031,0.031,0.031,0.161,53.731,198.271,311.026,682.768,687.138,741.605,571.67,312.441,312.663,90.844,137.772,75.241,12.991
1573,Public,2023-11-24 20:00:00+07:00,0.026,0.023,0.01,0.009,0.009,0.007,0.013,0.021,0.022,0.015,3.555,83.144,265.111,435.948,562.097,596.054,673.016,437.347,417.772,256.849,114.514,16.236,0.052,0.029
1574,Public,2023-09-25 02:00:00+07:00,0.024,0.022,0.026,0.039,23.515,210.502,378.624,626.327,768.99,858.238,863.952,498.362,500.547,276.41,189.184,70.319,2.285,0.047,0.024,0.024,0.023,0.017,0.033,0.034
1575,Public,2023-07-27 00:00:00+07:00,0.027,0.027,0.025,0.019,0.022,0.567,73.816,115.133,223.688,373.609,744.274,792.053,578.076,711.883,640.801,438.32,306.267,202.109,47.518,0.32,0.025,0.028,0.025,0.038
1576,Public,2023-10-01 18:00:00+07:00,7.474,0.015,0.024,0.028,0.02,0.014,0.014,0.03,0.03,0.034,0.03,0.033,34.358,220.085,464.255,578.845,447.15,643.93,691.001,392.103,377.168,317.511,155.253,67.996
1577,Public,2023-06-10 13:00:00+07:00,707.798,384.946,641.061,184.922,117.398,58.704,0.544,0.054,0.045,0.044,0.042,0.039,0.033,0.03,0.031,0.032,2.551,83.039,291.112,498.404,696.121,799.152,658.594,847.456
1578,Public,2023-10-02 03:00:00+07:00,0.034,0.03,0.033,34.358,220.085,464.255,578.845,447.15,643.93,691.001,392.103,377.168,317.511,155.253,67.996,1.518,0.045,0.045,0.033,0.026,0.027,0.026,0.029,0.037
1579,Public,2023-07-22 02:00:00+07:00,0.015,0.015,0.013,0.666,52.871,150.083,532.197,721.097,866.887,1008.64,1034.305,826.658,633.79,438.312,368.525,253.339,68.051,0.599,0.023,0.023,0.022,0.021,0.032,0.03
1580,Public,2023-07-23 00:00:00+07:00,0.032,0.03,0.029,0.029,0.026,1.001,68.472,220.51,137.435,369.874,914.639,911.263,957.105,886.651,838.761,636.339,483.455,186.655,23.236,0.373,0.028,0.027,0.038,0.04
1581,Public,2023-04-30 08:00:00+07:00,408.578,594.893,724.631,663.721,834.528,725.64,422.259,50.563,117.103,116.514,35.799,0.026,0.008,0.011,0.015,0.019,0.012,0.011,0.006,0.005,0.006,0.217,33.33,134.669
1582,Public,2023-12-29 23:00:00+07:00,0.012,0.01,0.005,0.005,0.007,0.002,0.001,0.58,44.211,188.254,361.442,501.591,583.921,603.321,555.944,434.113,284.721,117.809,22.525,0.339,0.009,0.009,0.009,0.012
1583,Public,2023-11-16 02:00:00+07:00,0.009,0.019,0.016,0.01,10.076,115.852,287.355,457.104,585.513,601.179,583.135,482.435,265.76,108.743,87.22,10.843,0.036,0.019,0.021,0.028,0.026,0.029,0.03,0.028
1584,Public,2023-12-01 14:00:00+07:00,364.188,284.404,101.985,2.44,0.042,0.021,0.024,0.023,0.023,0.029,0.026,0.029,0.028,0.025,0.028,0.028,2.324,50.805,194.746,411.571,539.815,582.892,635.145,345.526
1585,Public,2023-10-30 07:00:00+07:00,86.534,160.84,417.666,604.735,662.934,589.843,623.758,481.869,198.041,15.043,2.182,0.025,0.01,0.011,0.009,0.014,0.011,0.011,0.012,0.013,0.01,0.012,0.011,6.111
1586,Public,2023-10-16 07:00:00+07:00,92.457,220.812,471.196,581.602,697.395,645.038,323.107,349.936,312.151,232.333,38.718,0.285,0.02,0.014,0.012,0.016,0.012,0.014,0.012,0.017,0.012,0.015,0.015,4.592
1587,Public,2023-06-23 16:00:00+07:00,281.811,237.527,55.216,0.511,0.04,0.042,0.037,0.043,0.038,0.041,0.039,0.034,0.03,0.765,37.643,129.196,272.706,444.979,732.315,494.481,437.078,379.381,393.196,132.699
1588,Public,2023-06-23 05:00:00+07:00,1.665,52.107,139.197,192.494,460.01,603.035,666.618,541.603,561.169,416.243,440.701,281.811,237.527,55.216,0.511,0.04,0.042,0.037,0.043,0.038,0.041,0.039,0.034,0.03
1589,Public,2023-12-06 19:00:00+07:00,0.036,0.038,0.026,0.03,0.029,0.022,0.023,0.014,0.023,0.029,0.019,2.362,50.507,181.604,324.707,406.153,540.276,517.021,521.774,306.833,97.364,70.136,12.163,0.042
1590,Public,2023-10-29 20:00:00+07:00,0.038,0.031,0.031,0.029,0.025,0.02,0.024,0.026,0.026,0.024,14.764,86.534,160.84,417.666,604.735,662.934,589.843,623.758,481.869,198.041,15.043,2.182,0.025,0.01
1591,Public,2023-06-29 02:00:00+07:00,0.044,0.031,0.014,0.397,32.557,111.375,255.051,421.043,952.482,924.358,890.165,794.032,510.199,361.926,252.578,128.637,67.657,1.174,0.028,0.028,0.027,0.025,0.024,0.021
1592,Public,2023-07-08 22:00:00+07:00,0.021,0.023,0.029,0.024,0.02,0.019,0.015,0.365,35.718,120.133,306.602,343.2,388.603,674.753,745.319,755.563,308.449,261.238,253.509,152.351,45.093,0.201,0.033,0.029
1593,Public,2023-06-26 23:00:00+07:00,0.01,0.013,0.013,0.014,0.016,0.019,1.035,31.621,137.007,426.451,682.892,843.562,907.833,920.436,890.593,847.316,749.039,544.537,232.875,46.839,0.796,0.053,0.043,0.016
1594,Public,2023-05-12 19:00:00+07:00,0.021,0.01,0.015,0.016,0.009,0.008,0.009,0.002,0.004,0.004,0.237,15.913,85.497,228.609,304.532,40.783,276.786,723.43,497.355,834.479,653.12,418.299,205.038,28.155
1595,Public,2023-04-20 16:00:00+07:00,32.063,110.554,22.97,0.025,0.018,0.017,0.021,0.015,0.01,0.008,0.007,0.011,0.005,0.165,27.265,141.933,316.027,514.892,683.184,782.769,810.35,777.082,520.661,247.721
1596,Public,2023-08-30 02:00:00+07:00,0.031,0.015,0.02,0.064,38.84,151.174,233.308,271.159,362.707,229.775,381.776,567.789,690.668,235.132,70.69,41.689,8.988,0.032,0.035,0.043,0.037,0.027,0.025,0.027
1597,Public,2023-07-13 22:00:00+07:00,0.036,0.043,0.036,0.036,0.032,0.027,0.029,0.912,76.18,172.219,304.374,678.473,934.454,699.16,921.844,738.441,284.107,299.694,364.031,140.227,41.492,0.562,0.03,0.043
1598,Public,2023-05-31 12:00:00+07:00,849.224,815.823,921.859,627.61,442.415,125.283,22.273,0.16,0.029,0.03,0.022,0.019,0.018,0.027,0.023,0.02,0.022,2.004,101.832,326.509,565.021,746.024,878.527,953.567
1599,Public,2023-07-23 11:00:00+07:00,911.263,957.105,886.651,838.761,636.339,483.455,186.655,23.236,0.373,0.028,0.027,0.038,0.04,0.03,0.026,0.029,0.029,0.028,0.39,59.465,190.396,366.253,653.382,880.001
1600,Public,2023-12-07 21:00:00+07:00,0.015,0.008,0.012,0.011,0.016,0.021,0.017,0.012,0.009,3.492,35.444,125.194,180.542,371.111,385.662,330.58,227.029,103.789,66.882,46.523,21.393,0.04,0.025,0.025
1601,Public,2023-09-03 10:00:00+07:00,824.237,906.486,923.046,865.081,734.361,650.551,444.799,169.36,10.213,0.039,0.039,0.03,0.048,0.053,0.049,0.05,0.044,0.039,0.037,0.083,36.966,228.761,458.808,661.077
1602,Public,2023-10-06 22:00:00+07:00,0.032,0.027,0.027,0.024,0.022,0.026,0.019,0.021,15.094,26.244,146.853,73.025,143.818,301.331,454.692,289.267,232.8,224.476,122.37,55.404,0.817,0.047,0.046,0.043
1603,Public,2023-11-12 11:00:00+07:00,699.462,660.846,628.974,378.041,312.427,84.595,10.581,0.048,0.031,0.032,0.035,0.034,0.029,0.027,0.02,0.02,0.016,0.016,0.011,10.93,96.078,296.579,473.147,608.277
1604,Public,2023-09-05 16:00:00+07:00,362.348,143.635,10.6,0.056,0.055,0.044,0.046,0.035,0.026,0.026,0.05,0.021,0.02,0.023,21.079,121.723,213.42,319.103,562.601,314.794,697.385,266.993,287.469,293.413
1605,Public,2023-08-20 13:00:00+07:00,582.577,471.438,327.837,317.429,120.022,22.678,0.043,0.031,0.026,0.025,0.029,0.032,0.042,0.031,0.031,0.031,0.161,53.731,198.271,311.026,682.768,687.138,741.605,571.67
1606,Public,2023-09-02 11:00:00+07:00,230.263,531.999,857.007,800.934,412.7,395.947,131.595,15.802,0.029,0.033,0.039,0.045,0.04,0.046,0.041,0.047,0.036,0.038,0.101,43.564,244.794,477.884,701.289,824.237
1607,Public,2023-12-17 08:00:00+07:00,210.994,324.599,460.633,590.351,592.425,530.162,420.508,264.376,103.528,19.967,0.127,0.023,0.023,0.014,0.012,0.015,0.009,0.006,0.005,0.004,0.005,0.003,1.755,54.448
1608,Public,2023-10-17 12:00:00+07:00,684.781,587.197,446.63,387.237,159.119,17.005,0.207,0.02,0.014,0.013,0.009,0.014,0.013,0.006,0.008,0.007,0.006,0.005,18.822,115.582,355.64,544.662,683.511,581.766
1609,Public,2023-06-15 14:00:00+07:00,285.45,279.578,301.429,135.696,32.873,0.414,0.031,0.014,0.026,0.024,0.015,0.01,0.013,0.016,0.015,2.541,88.201,285.02,542.148,736.637,872.933,947.206,659.742,639.471
1610,Public,2023-05-14 08:00:00+07:00,542.948,635.461,720.609,338.629,540.565,693.861,400.989,417.893,191.021,134.091,28.708,0.037,0.016,0.016,0.016,0.024,0.036,0.04,0.039,0.023,0.021,0.694,36.241,104.078
1611,Public,2023-06-21 19:00:00+07:00,0.376,0.018,0.022,0.019,0.022,0.017,0.018,0.015,0.014,0.017,0.937,45.751,266.901,198.978,339.369,412.262,558.609,446.068,588.494,480.079,525.846,465.837,141.061,44.799
1612,Public,2023-06-24 05:00:00+07:00,0.765,37.643,129.196,272.706,444.979,732.315,494.481,437.078,379.381,393.196,132.699,67.286,79.012,33.143,0.495,0.031,0.029,0.028,0.03,0.034,0.031,0.031,0.033,0.03
1613,Public,2023-06-14 17:00:00+07:00,45.843,12.704,0.239,0.017,0.019,0.025,0.017,0.019,0.018,0.016,0.011,0.015,0.918,33.287,163.287,600.441,459.966,338.045,418.04,335.195,504.071,285.45,279.578,301.429
1614,Public,2023-11-18 21:00:00+07:00,0.016,0.021,0.015,0.009,0.007,0.01,0.004,0.005,0.009,7.702,101.961,290.987,470.116,596.277,662.241,659.225,591.636,450.106,279.008,103.217,15.754,0.046,0.024,0.024
1615,Public,2023-07-18 14:00:00+07:00,778.354,638.351,474.094,222.775,36.925,0.655,0.026,0.026,0.023,0.023,0.033,0.029,0.03,0.029,0.028,0.411,46.776,290.835,357.315,766.786,803.228,908.423,731.085,747.675
1616,Public,2023-12-03 13:00:00+07:00,448.972,395.195,261.671,98.041,17.429,0.063,0.038,0.035,0.031,0.027,0.017,0.011,0.009,0.009,0.009,0.003,0.005,3.597,68.738,218.881,404.046,538.253,612.253,617.811
1617,Public,2023-07-22 01:00:00+07:00,0.012,0.015,0.015,0.013,0.666,52.871,150.083,532.197,721.097,866.887,1008.64,1034.305,826.658,633.79,438.312,368.525,253.339,68.051,0.599,0.023,0.023,0.022,0.021,0.032
1618,Public,2023-10-19 08:00:00+07:00,375.428,567.722,639.11,541.506,614.329,570.918,436.678,321.633,218.236,40.63,0.195,0.028,0.024,0.023,0.021,0.021,0.018,0.016,0.017,0.017,0.015,0.021,21.914,169.708
1619,Public,2023-05-17 16:00:00+07:00,374.851,167.314,30.421,0.112,0.019,0.016,0.012,0.017,0.025,0.024,0.024,0.018,0.015,2.019,75.518,274.142,493.756,560.973,796.517,841.672,950.997,882.732,609.793,590.355
1620,Public,2023-07-24 07:00:00+07:00,190.396,366.253,653.382,880.001,866.94,778.519,683.397,655.987,435.903,106.853,132.795,32.091,0.434,0.018,0.018,0.021,0.013,0.016,0.025,0.02,0.016,0.02,0.284,27.006
1621,Public,2023-07-30 21:00:00+07:00,0.025,0.028,0.03,0.027,0.027,0.029,0.023,0.019,0.12,23.604,50.314,138.035,189.8,237.599,260.886,328.383,246.508,134.402,137.493,125.872,63.856,12.591,0.095,0.027
1622,Public,2023-04-28 05:00:00+07:00,0.445,47.642,225.062,448.61,653.115,803.75,863.098,893.728,815.313,718.743,514.206,335.023,130.559,19.878,0.046,0.021,0.019,0.023,0.029,0.023,0.022,0.018,0.014,0.015
1623,Public,2023-06-13 23:00:00+07:00,0.025,0.021,0.023,0.019,0.014,0.021,0.649,19.115,57.089,248.235,422.799,249.943,515.959,544.517,779.623,773.443,353.697,79.469,45.843,12.704,0.239,0.017,0.019,0.025
1624,Public,2023-11-18 13:00:00+07:00,596.816,463.076,283.162,104.346,15.379,0.036,0.014,0.016,0.016,0.021,0.015,0.009,0.007,0.01,0.004,0.005,0.009,7.702,101.961,290.987,470.116,596.277,662.241,659.225
1625,Public,2023-10-13 12:00:00+07:00,423.799,359.633,459.729,296.661,185.841,52.117,0.433,0.043,0.045,0.038,0.015,0.015,0.015,0.015,0.016,0.019,0.022,0.02,6.388,40.173,129.298,376.447,708.934,620.034
1626,Public,2023-09-06 04:00:00+07:00,0.02,0.023,21.079,121.723,213.42,319.103,562.601,314.794,697.385,266.993,287.469,293.413,284.308,81.425,5.529,0.031,0.013,0.013,0.018,0.018,0.021,0.018,0.019,0.019
1627,Public,2023-10-08 08:00:00+07:00,218.405,405.951,570.473,800.542,454.868,272.4,152.421,47.202,37.671,19.292,0.458,0.024,0.026,0.026,0.023,0.019,0.019,0.021,0.02,0.012,0.018,0.012,8.162,69.417
1628,Public,2023-11-15 05:00:00+07:00,0.013,13.804,114.458,270.625,422.83,593.055,715.211,666.836,417.345,434.259,305.744,89.822,21.496,0.052,0.034,0.034,0.029,0.023,0.014,0.015,0.013,0.009,0.019,0.016
1629,Public,2023-08-07 17:00:00+07:00,45.666,9.846,0.037,0.008,0.012,0.009,0.006,0.006,0.01,0.01,0.006,0.008,0.048,13.644,84.125,77.313,107.374,124.563,178.647,182.321,94.441,227.529,143.213,89.738
1630,Public,2023-08-30 14:00:00+07:00,690.668,235.132,70.69,41.689,8.988,0.032,0.035,0.043,0.037,0.027,0.025,0.027,0.032,0.028,0.023,0.101,35.905,143.558,250.167,540.545,748.958,704.927,909.105,797.268
1631,Public,2023-10-20 08:00:00+07:00,380.232,563.859,698.429,774.053,769.301,711.752,600.647,379.26,107.713,24.394,0.38,0.029,0.019,0.019,0.016,0.017,0.017,0.014,0.014,0.017,0.021,0.018,15.304,53.979
1632,Public,2023-06-14 19:00:00+07:00,0.239,0.017,0.019,0.025,0.017,0.019,0.018,0.016,0.011,0.015,0.918,33.287,163.287,600.441,459.966,338.045,418.04,335.195,504.071,285.45,279.578,301.429,135.696,32.873
1633,Public,2023-07-11 09:00:00+07:00,599.37,607.734,573.6,836.985,474.972,627.202,221.942,117.012,311.907,97.9,2.103,0.026,0.011,0.009,0.023,0.015,0.01,0.008,0.007,0.011,1.424,65.04,268.788,553.64
1634,Public,2023-09-20 04:00:00+07:00,0.031,0.044,16.204,184.757,433.918,618.755,715.751,585.585,549.803,658.425,542.532,564.563,77.611,16.133,4.848,0.015,0.016,0.025,0.027,0.029,0.034,0.026,0.023,0.026
1635,Public,2023-09-14 03:00:00+07:00,0.01,0.01,0.014,10.132,62.759,242.482,393.728,462.388,430.845,862.596,767.005,617.222,482.27,183.765,92.467,7.201,0.038,0.038,0.036,0.023,0.009,0.018,0.017,0.009
1636,Public,2023-05-28 07:00:00+07:00,295.365,521.051,709.794,840.157,927.879,939.272,913.649,453.196,308.453,474.37,167.078,47.992,0.287,0.023,0.031,0.04,0.035,0.029,0.03,0.028,0.02,0.019,0.799,46.957
1637,Public,2023-12-10 05:00:00+07:00,0.008,2.741,60.994,213.188,325.688,528.683,610.503,573.635,526.263,427.192,269.81,108.586,20.148,0.061,0.014,0.013,0.011,0.011,0.009,0.008,0.011,0.008,0.009,0.01
1638,Public,2023-05-20 08:00:00+07:00,509.205,703.867,849.71,926.687,941.262,829.359,685.07,543.543,377.568,172.94,33.964,0.183,0.042,0.037,0.037,0.031,0.022,0.023,0.021,0.014,0.012,1.598,80.022,284.058
1639,Public,2023-05-30 06:00:00+07:00,102.297,329.821,554.21,740.011,879.61,949.29,851.333,924.335,496.098,714.45,435.978,189.994,45.629,0.361,0.019,0.008,0.008,0.01,0.01,0.008,0.005,0.006,0.006,1.702
1640,Public,2023-07-04 02:00:00+07:00,0.008,0.011,0.006,0.691,35.994,84.105,273.094,400.986,492.015,536.353,622.294,670.245,441.259,275.402,374.531,87.515,14.558,0.218,0.007,0.004,0.003,0.005,0.005,0.003
1641,Public,2023-04-30 04:00:00+07:00,0.014,0.305,41.948,206.91,408.578,594.893,724.631,663.721,834.528,725.64,422.259,50.563,117.103,116.514,35.799,0.026,0.008,0.011,0.015,0.019,0.012,0.011,0.006,0.005
1642,Public,2023-12-14 22:00:00+07:00,0.017,0.02,0.014,0.006,0.006,0.005,0.003,0.005,2.062,50.858,199.545,360.422,504.856,579.682,587.712,469.337,399.292,257.509,102.183,19.492,0.109,0.016,0.02,0.018
1643,Public,2023-04-19 18:00:00+07:00,0.145,0.038,0.024,0.028,0.028,0.024,0.023,0.023,0.019,0.014,0.015,12.448,98.339,262.841,428.451,603.486,710.496,756.069,741.267,701.563,607.149,385.553,32.063,110.554
1644,Public,2023-12-12 17:00:00+07:00,18.369,0.065,0.014,0.016,0.016,0.01,0.006,0.006,0.002,0.002,0.002,0.002,0.002,1.971,57.02,202.152,363.146,488.155,557.649,568.045,522.444,379.93,221.802,96.006
1645,Public,2023-04-28 02:00:00+07:00,0.016,0.016,0.014,0.445,47.642,225.062,448.61,653.115,803.75,863.098,893.728,815.313,718.743,514.206,335.023,130.559,19.878,0.046,0.021,0.019,0.023,0.029,0.023,0.022
1646,Public,2023-08-24 17:00:00+07:00,77.063,20.3,0.042,0.029,0.028,0.028,0.026,0.024,0.023,0.017,0.02,0.024,0.048,40.178,217.136,298.038,565.948,474.851,391.957,256.36,625.588,457.937,304.758,240.582
1647,Public,2023-10-12 02:00:00+07:00,0.007,0.008,0.015,0.013,7.435,67.9,195.096,445.133,776.553,682.697,732.433,715.067,368.717,403.436,198.933,30.767,0.419,0.045,0.039,0.03,0.035,0.033,0.033,0.014
1648,Public,2023-08-01 23:00:00+07:00,0.031,0.03,0.028,0.024,0.03,0.03,0.129,31.034,162.247,220.531,443.667,273.862,436.748,299.142,312.764,132.247,95.3,87.643,57.318,19.102,0.105,0.024,0.016,0.017
1649,Public,2023-11-28 23:00:00+07:00,0.011,0.014,0.011,0.012,0.005,0.007,0.009,5.302,81.375,247.393,419.434,545.742,606.429,618.879,556.732,425.564,263.08,100.402,17.345,0.047,0.023,0.02,0.016,0.014
1650,Public,2023-06-29 12:00:00+07:00,890.165,794.032,510.199,361.926,252.578,128.637,67.657,1.174,0.028,0.028,0.027,0.025,0.024,0.021,0.025,0.023,0.021,0.544,29.404,130.003,354.611,441.475,699.848,714.132
1651,Public,2023-05-16 12:00:00+07:00,775.788,644.31,94.598,460.534,361.152,172.731,30.601,0.169,0.013,0.012,0.015,0.012,0.013,0.011,0.012,0.009,0.009,1.875,82.121,288.134,513.127,704.413,841.665,919.755
1652,Public,2023-11-12 03:00:00+07:00,0.02,0.017,0.02,8.65,110.288,303.156,524.635,343.5,699.462,660.846,628.974,378.041,312.427,84.595,10.581,0.048,0.031,0.032,0.035,0.034,0.029,0.027,0.02,0.02
1653,Public,2023-06-04 03:00:00+07:00,0.015,0.014,2.816,111.947,333.436,551.781,746.555,883.946,956.554,890.03,890.647,611.997,665.033,361.031,195.447,31.772,0.2,0.033,0.012,0.011,0.013,0.014,0.018,0.014
1654,Public,2023-10-17 22:00:00+07:00,0.009,0.014,0.013,0.006,0.008,0.007,0.006,0.005,18.822,115.582,355.64,544.662,683.511,581.766,758.588,710.532,571.276,385.59,169.456,29.368,0.287,0.015,0.011,0.015
1655,Public,2023-12-24 21:00:00+07:00,0.008,0.007,0.01,0.012,0.01,0.01,0.008,0.005,0.01,0.786,49.288,156.538,352.909,504.431,584.358,612.96,519.341,376.051,254.346,111.889,23.882,0.218,0.015,0.009
1656,Public,2023-10-06 04:00:00+07:00,0.011,0.021,31.914,144.22,316.632,565.345,754.757,750.112,557.898,651.825,584.388,496.908,198.777,85.115,1.022,0.035,0.033,0.036,0.032,0.027,0.027,0.024,0.022,0.026
1657,Public,2023-05-24 11:00:00+07:00,908.143,917.706,848.404,552.86,441.6,56.258,84.631,22.977,0.082,0.007,0.01,0.013,0.015,0.014,0.013,0.01,0.01,0.012,1.506,87.558,326.083,424.44,618.232,863.563
1658,Public,2023-05-16 05:00:00+07:00,1.442,69.799,292.52,523.733,684.842,835.554,797.693,775.788,644.31,94.598,460.534,361.152,172.731,30.601,0.169,0.013,0.012,0.015,0.012,0.013,0.011,0.012,0.009,0.009
