,Usage,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23
334,Public,2460.428,2479.886,2380.892,2855.623,3460.359,3233.267,3283.682,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056
335,Public,2479.886,2380.892,2855.623,3460.359,3233.267,3283.682,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443
336,Public,2380.892,2855.623,3460.359,3233.267,3283.682,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15
337,Public,2855.623,3460.359,3233.267,3283.682,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932
338,Public,3460.359,3233.267,3283.682,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409
339,Public,3233.267,3283.682,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374
340,Public,3283.682,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733
341,Public,3226.479,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318
342,Public,3295.652,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898
343,Public,3361.061,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44
344,Public,6090.817,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689
345,Public,15278.439,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658
346,Public,17547.239,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169
347,Public,16542.236,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812
348,Public,9191.315,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303
349,Public,19438.897,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802
350,Public,19755.284,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919
351,Public,19575.484,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057
352,Public,9856.073,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211
353,Public,5021.461,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385
354,Public,4200.374,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465
355,Public,4418.939,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648
356,Public,3799.175,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149
357,Public,3424.056,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825
358,Public,3223.443,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376
359,Public,2816.15,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216
360,Public,2693.932,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316
361,Public,2473.409,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08
362,Public,2333.374,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344
363,Public,2383.733,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501
364,Public,2225.318,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909
365,Public,2290.898,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364
366,Public,2288.44,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803
367,Public,2643.689,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933
368,Public,5630.658,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167
369,Public,6334.169,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306
370,Public,9569.812,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032
371,Public,16912.303,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225
372,Public,9267.802,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038
373,Public,18075.919,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568
374,Public,19432.057,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79
375,Public,18540.211,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882
376,Public,10548.385,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909
377,Public,4445.465,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038
378,Public,2747.648,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825
379,Public,2718.149,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086
380,Public,4863.825,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711
381,Public,5142.376,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099
382,Public,2845.216,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763
383,Public,2810.316,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296
384,Public,2420.08,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043
385,Public,2432.344,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212
386,Public,2391.501,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15
387,Public,2484.909,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204
388,Public,2352.364,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627
389,Public,2325.803,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438
390,Public,2342.933,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928
391,Public,2288.167,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611
392,Public,4665.306,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875
393,Public,5702.032,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548
394,Public,9305.225,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266
395,Public,16765.038,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513
396,Public,9941.568,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731
397,Public,18991.79,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479
398,Public,21953.882,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958
399,Public,20560.909,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438
400,Public,10930.038,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07
401,Public,3372.825,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948
402,Public,3224.086,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486
403,Public,3281.711,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326
404,Public,2814.099,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503
405,Public,2795.763,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052
406,Public,2557.296,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735
407,Public,2480.043,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144
408,Public,2601.212,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011
409,Public,2415.15,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591
410,Public,2403.204,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465
411,Public,2336.627,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424
412,Public,2251.438,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771
413,Public,2312.928,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537
414,Public,2364.611,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502
415,Public,2516.875,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691
416,Public,4223.548,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332
417,Public,6558.266,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964
418,Public,11099.513,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033
419,Public,19300.731,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139
420,Public,11264.479,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692
421,Public,21169.958,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513
422,Public,22890.438,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883
423,Public,21395.07,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761
424,Public,11658.948,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471
425,Public,3741.486,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138
426,Public,4422.326,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184
427,Public,4086.503,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239
428,Public,3475.052,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161
429,Public,2457.735,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521
430,Public,2565.144,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121
431,Public,2650.011,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166
432,Public,2516.591,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605
433,Public,2375.465,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186
434,Public,2316.424,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702
435,Public,2259.771,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066
436,Public,2218.537,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918
437,Public,2276.502,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495
438,Public,2321.691,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495,2108.462
439,Public,2190.332,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495,2108.462,2163.454
440,Public,3879.964,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495,2108.462,2163.454,2517.845
441,Public,7161.033,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495,2108.462,2163.454,2517.845,4673.224
442,Public,18473.139,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495,2108.462,2163.454,2517.845,4673.224,5758.732
443,Public,19121.692,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495,2108.462,2163.454,2517.845,4673.224,5758.732,5633.605
444,Public,9891.513,17293.883,22547.761,18631.471,9406.138,3276.184,3209.239,2592.161,2506.521,2563.121,2419.166,2446.605,2196.186,2287.702,2500.066,2151.918,2160.495,2108.462,2163.454,2517.845,4673.224,5758.732,5633.605,8929.247
